Document,Term,TF,DF,IDF,TF-IDF
Document 1,a,0.1111,1,0.4771,0.053
Document 1,field,0.1111,1,0.4771,0.053
Document 1,natural,0.1111,2,0.1761,0.0196
Document 1,language,0.1111,2,0.1761,0.0196
Document 1,processing,0.1111,2,0.1761,0.0196
Document 1,is,0.1111,2,0.1761,0.0196
Document 1,of,0.1111,2,0.1761,0.0196
Document 1,artificial,0.1111,2,0.1761,0.0196
Document 1,intelligence,0.1111,2,0.1761,0.0196
Document 2,helps,0.125,1,0.4771,0.0596
Document 2,computers,0.125,1,0.4771,0.0596
Document 2,understand,0.125,1,0.4771,0.0596
Document 2,human,0.125,1,0.4771,0.0596
Document 2,language,0.25,2,0.1761,0.044
Document 2,natural,0.125,2,0.1761,0.022
Document 2,processing,0.125,2,0.1761,0.022
Document 3,machine,0.1111,1,0.4771,0.053
Document 3,learning,0.1111,1,0.4771,0.053
Document 3,an,0.1111,1,0.4771,0.053
Document 3,important,0.1111,1,0.4771,0.053
Document 3,part,0.1111,1,0.4771,0.053
Document 3,is,0.1111,2,0.1761,0.0196
Document 3,of,0.1111,2,0.1761,0.0196
Document 3,artificial,0.1111,2,0.1761,0.0196
Document 3,intelligence,0.1111,2,0.1761,0.0196
